,상품이름,무게,칼로리,지방,탄수화물,단백질
274,케이준치킨샌드위치,1통 (190g)당,402kcal,10.00g,64.00g,14.00g
275,왕만쥬,1개 (73g)당,231kcal,3.00g,47.00g,4.00g
276,그릴치킨아몬드볼,1인분 (160g)당,110kcal,3.80g,8.00g,11.00g
277,카페모카,1컵 (300ml)당,200kcal,6.00g,30.00g,7.00g
278,마늘맛콘스낵,1회 (120g)당,600kcal,27.00g,83.00g,6.00g
279,참치김치,1개 (95g)당,146kcal,1.60g,30.00g,3.00g
280,8찬 정식,1인분 (390g)당,756kcal,24.00g,103.00g,32.00g
281,찹쌀떡 페스츄리,1인분 (80g)당,315kcal,15.00g,40.00g,5.00g
282,매콤고추장불고기,1인분 (110g)당,206kcal,3.80g,37.00g,6.00g
283,명란크랩 유부초밥,100g당,484kcal,20.00g,63.00g,13.00g
284,치킨마요,1회 (100g)당,212kcal,8.00g,30.00g,5.00g
285,홍게라면,1컵 (115g)당,500kcal,19.00g,72.00g,10.00g
286,스트로베리 찹쌀모찌,1개 (80g)당,190kcal,0.00g,44.00g,3.00g
287,구운란(자연애찬),100g당,55kcal,4.30g,2.00g,7.00g
288,쫀득한 초콜릿 마카롱,1인분 (72g)당,340kcal,18.00g,40.00g,4.00g
289,훈제 닭가슴살 샐러드,1인분 (170g)당,125kcal,2.14g,13.62g,12.53g
290,BLT 샌드위치 (130g),1회 (130g)당,230kcal,10.00g,25.00g,10.00g
291,수원식 왕갈비 치킨 버거,1개 (150g)당,411kcal,19.00g,44.00g,16.00g
292,추억의 매점 피자빵,100g당,400kcal,27.00g,33.00g,6.00g
293,The 부드러운 계란 샌드위치,1회 (155g)당,394kcal,22.00g,36.00g,13.00g
294,햄야채계란김밥,1인분 (250g)당,438kcal,14.00g,61.00g,17.00g
295,스파이시 치킨 샐러드,1인분 (146g)당,155kcal,11.00g,8.00g,6.00g
296,에그불고기치즈버거,1개 (150g)당,359kcal,19.00g,35.00g,12.00g
297,반숙계란,1인분 (50g)당,75kcal,4.20g,4.00g,6.00g
298,복숭아아이스티,1회 (190ml)당,120kcal,0.00g,30.00g,0.00g
299,뻥이요 골드,1회 (112g)당,510kcal,14.00g,91.00g,5.00g
300,집밥은 씨유 사골국,1컵 (8g)당,31kcal,0.80g,4.70g,1.30g
301,쫀득한 달고나 마카롱,1인분 (74g)당,323kcal,15.00g,43.00g,4.00g
302,에그 베네딕트 샌드위치,1인분 (150g)당,288kcal,12.00g,32.00g,13.00g
303,커피우유,1개 (500ml)당,285kcal,4.00g,16.00g,3.60g
304,에그마요 스쿱 샐러드,1인분 (120g)당,282kcal,22.00g,9.00g,12.00g
305,슈러스크,1봉지 (35g)당,138kcal,8.00g,15.00g,1.00g
306,김치콩나물국,1회 (5g)당,15kcal,0.00g,3.00g,1.00g
307,뚱한메가돈스바,100g당,268kcal,21.23g,3.66g,15.59g
308,빅불고기치즈버거,1회 (160g)당,413kcal,17.00g,49.00g,16.00g
309,남도떡갈비김밥,1인분 (243g)당,421kcal,13.00g,62.00g,14.00g
310,띵작 쫀득찰떡롤 플레인,1인분 (140g)당,425kcal,17.00g,62.00g,7.00g
311,BLT 샌드위치,100g당,293kcal,13.00g,33.00g,11.00g
312,비엘티샌드위치,2조각 (130g)당,230kcal,10.00g,25.00g,10.00g
313,불똥집 짜글이,1인분 (305g)당,295kcal,5.00g,45.00g,17.00g
314,단백질 닭가슴살 샌드위치,1인분 (207g)당,386kcal,14.00g,51.00g,14.00g
315,햄페스츄리,1개 (60g)당,225kcal,13.00g,22.00g,5.00g
316,더 건강한 소시지김밥,1인분 (252g)당,415kcal,11.00g,62.00g,17.00g
317,마늘보쌈 도시락,1회 (330g)당,595kcal,19.00g,78.00g,28.00g
318,퀴노아바질샐러드,1인분 (138g)당,111kcal,2.10g,16.00g,7.00g
319,쫀득롤케익 순우유,1인분 (130g)당,445kcal,25.00g,47.00g,7.00g
320,고메 함박스테이크,1인분 (410g)당,739kcal,31.00g,88.00g,27.00g
321,애플파이,1개 (110g)당,415kcal,23.00g,46.00g,6.00g
322,상하이 스파이시 치킨버거,1개 (175g)당,489kcal,25.00g,51.00g,15.00g
323,크랜베리 쿠키,1인분 (52g)당,239kcal,11.00g,33.00g,2.00g
324,자이언트 매콤 까르보 떡볶이,1인분 (350g)당,660kcal,28.00g,95.00g,10.00g
325,반숙대란,100g당,120kcal,4.10g,0.00g,6.00g
326,The 부드러운 와사비 크래미 샌드위치,1인분 (153g)당,269kcal,9.00g,40.00g,7.00g
327,매콤삼겹덮밥,1인분 (300g)당,685kcal,19.00g,107.00g,22.00g
328,꾸덕한 커스터드 크림슈,4개 (120g)당,309kcal,21.00g,24.00g,6.00g
